team,p_advance,p_qf,p_sf,p_final,p_champion
BRA,0.9976,0.8218,0.7458,0.5242,0.4294
ARG,0.9814,0.8244,0.6762,0.3788,0.2838
URU,0.8804,0.5182,0.3652,0.2308,0.083
POR,0.7734,0.3108,0.194,0.1002,0.0298
ECU,0.8058,0.4598,0.1916,0.071,0.0254
USA,0.7128,0.406,0.187,0.0778,0.0196
MEX,0.5942,0.3108,0.1676,0.0664,0.0148
CAN,0.6964,0.3812,0.129,0.0628,0.0146
JPN,0.6214,0.3436,0.1076,0.0468,0.0142
ESP,0.667,0.373,0.1136,0.054,0.0134
ENG,0.618,0.3246,0.123,0.0434,0.0106
NED,0.7352,0.3812,0.1334,0.0488,0.0102
AUS,0.5834,0.225,0.1132,0.0458,0.009
DEN,0.5086,0.185,0.0884,0.0316,0.0072
FRA,0.5576,0.202,0.0982,0.0336,0.0072
BEL,0.555,0.2692,0.0656,0.0276,0.0046
IRN,0.47,0.2204,0.0718,0.019,0.0046
SRB,0.559,0.183,0.089,0.0346,0.0038
GER,0.428,0.2046,0.048,0.0194,0.003
TUN,0.3504,0.0968,0.041,0.0112,0.0026
MAR,0.3764,0.1582,0.0312,0.0116,0.0018
KOR,0.2772,0.055,0.0204,0.0066,0.0014
KSA,0.2338,0.0934,0.0362,0.0102,0.0014
CRO,0.3722,0.1516,0.027,0.0078,0.0012
CRC,0.2836,0.1186,0.0288,0.008,0.001
SUI,0.3056,0.0756,0.0264,0.0116,0.0008
WAL,0.1992,0.068,0.0158,0.0032,0.0006
CMR,0.1378,0.029,0.0066,0.0024,0.0006
QAT,0.2338,0.0728,0.0164,0.0024,0.0002
POL,0.1906,0.0626,0.0232,0.0054,0.0002
SEN,0.2252,0.0672,0.017,0.0028,0.0
GHA,0.069,0.0066,0.0018,0.0002,0.0
